genre,playlist_name,playlist_id,track_name,artists,track_id,album,album_release,popularity,duration_ms
c,couse music,3AY2S4R2B7daWgof8fRldF,The Girl Next Door,Tomppabeats,41hXE5S8D4mRfcdqSMpmAC,Harbor,2016-05-06,0,51187
c,couse music,3AY2S4R2B7daWgof8fRldF,Ladyfingers,Herb Alpert & The Tijuana Brass,7ubd6wvhN4TKMwQUy6hR69,Whipped Cream & Other Delights,1965-04-01,66,164546
c,couse music,3AY2S4R2B7daWgof8fRldF,Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Basement Boy Strip To The Bone Mix,"Crystal Waters, The Basement Boys",1SShxVVBeZBCY7WddnksPz,Surprise,1991-01-01,71,451826
c,couse music,3AY2S4R2B7daWgof8fRldF,Wet Hands,C418,1tinoQpYXzpZDrb0BjK1e7,Minecraft - Volume Alpha,2011-03-04,70,90000
c,couse music,3AY2S4R2B7daWgof8fRldF,walk but in a garden,LLusion,37bzRWttPZDNdJs24NZaUG,walk but in a garden,2019-06-19,9,110250
c,couse music,3AY2S4R2B7daWgof8fRldF,Let Go,"Ark Patrol, Veronika Redd",3kdlVcMVsSkbsUy8eQcBjI,Let Go,2016-04-14,1,248056
c,couse music,3AY2S4R2B7daWgof8fRldF,Flashing Lights,Kanye West,2QK4nswjBvmwBXTOLFodDA,Graduation,2007-09-11,0,237440
c,couse music,3AY2S4R2B7daWgof8fRldF,80's High School,CASTLEBEAT,080QlT286ey4jbCK3A55LC,80's High School,2020-01-28,0,202922
c,couse music,3AY2S4R2B7daWgof8fRldF,Homage,Mild High Club,7pegxVesMmE2qK0o58xoFG,Skiptracing,2016-08-26,0,177493
c,couse music,3AY2S4R2B7daWgof8fRldF,Sports,Beach Bunny,77G0k1La0c5Dw8bAFANcyp,Sports,2018-01-01,1,164165
c,couse music,3AY2S4R2B7daWgof8fRldF,Her,eery,4kVmLlBnLcfXIZIIhq3VUq,Her,2016-01-01,0,123207
c,couse music,3AY2S4R2B7daWgof8fRldF,Merry-Go-Round of Life - from 'Howl's Moving Castle',Joe Hisaishi,39uLYYZytVUwcjgeYLI409,FREEDOM PIANO STORIES 4,2005-01-26,69,311106
c,couse music,3AY2S4R2B7daWgof8fRldF,Space Song,Beach House,0hNhlwnzMLzZSlKGDCuHOo,Depression Cherry,2015-08-28,0,320466
c,couse music,3AY2S4R2B7daWgof8fRldF,Resonance,Home,1TuopWDIuDi1553081zvuU,Odyssey,2014-07-01,0,212881
c,couse music,3AY2S4R2B7daWgof8fRldF,SLOW DANCING IN THE DARK,Joji,36eaTAtbfMzKDjGz6pozXe,BALLADS 1,2018-10-26,0,209273
c,couse music,3AY2S4R2B7daWgof8fRldF,All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",10hMM5nsZQf66ldBlgWBfG,All For Us (from the HBO Original Series Euphoria),2019-08-04,68,192986
c,couse music,3AY2S4R2B7daWgof8fRldF,Can I Call You Tonight?,Dayglow,64lsIF5pw0sJY0gV5kz0RN,Fuzzybrain,2019-11-14,2,278769
c,couse music,3AY2S4R2B7daWgof8fRldF,Swing Lynn,Harmless,6hIOunhsLUT66KQgZV5dMD,I'm Sure,2012-08-14,0,321438
c,couse music,3AY2S4R2B7daWgof8fRldF,A Heart Like Hers,Mac DeMarco,1Ijh9lrbGPUj1tui7OGpnB,Another One,2015-08-07,64,241860
c,couse music,3AY2S4R2B7daWgof8fRldF,For the First Time,Mac DeMarco,2R4AlwtrrkMaRKojcTIzmL,This Old Dog,2017-05-05,83,182306
c,couse music,3AY2S4R2B7daWgof8fRldF,Tungs,The Frights,4WYwP4V2SGCUXJGEha0ODM,You Are Going to Hate This,2016-02-12,49,170298
c,couse music,3AY2S4R2B7daWgof8fRldF,Feels Like We Only Go Backwards,Tame Impala,0LtOwyZoSNZKJWHqjzADpW,Lonerism,2012-01-01,77,192960
c,couse music,3AY2S4R2B7daWgof8fRldF,Plage Coquillage (First Kiss Song),Tao Mon Amour,3GtDGodVbuTClVS1rWeS4j,Plage Coquillage (First Kiss Song),2024-02-09,0,191362
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Blow,Kesha,3pYDZTJM2tVBUhIRifWVzI,Cannibal (Expanded Edition),2010-11-19,76,219973
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Promiscuous,"Nelly Furtado, Timbaland",2gam98EZKrF9XuOkU13ApN,Loose,2006-01-01,88,242293
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Kiss Me Thru The Phone,"Soulja Boy, Sammie",2q4rjDy9WhaN3o9MvDbO21,iSouljaBoyTellem,2008-01-01,81,193386
